file_path	top_archive_dir	sub_bucket	classification	reason	recommended_next_action
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/010.constitution/050.growth/0100500000_PERSONA_GROWTH_CONSTITUTION_INDEX.md	020.deep_index_original_backup_20260417_083712	050.growth	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/010.constitution/060.builder/0100600000_PERSONA_BUILDER_CONSTITUTION_INDEX.md	020.deep_index_original_backup_20260417_083712	060.builder	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/010.constitution/070.visual/0100700000_PERSONA_VISUAL_CONSTITUTION_INDEX.md	020.deep_index_original_backup_20260417_083712	070.visual	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/010.constitution/080.runtime_hosting/0100800000_PERSONA_RUNTIME_HOSTING_CONSTITUTION_INDEX.md	020.deep_index_original_backup_20260417_083712	080.runtime_hosting	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/010.constitution/090.snapshot/0100900000_PERSONA_SNAPSHOT_CONSTITUTION_INDEX.md	020.deep_index_original_backup_20260417_083712	090.snapshot	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/010.constitution/100.package/0101000000_PERSONA_PACKAGE_CONSTITUTION_INDEX.md	020.deep_index_original_backup_20260417_083712	100.package	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/010.constitution/110.distribution/0101100000_PERSONA_DISTRIBUTION_CONSTITUTION_INDEX.md	020.deep_index_original_backup_20260417_083712	110.distribution	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/010.constitution/120.external_rights/0101200000_PERSONA_EXTERNAL_RIGHTS_CONSTITUTION_INDEX.md	020.deep_index_original_backup_20260417_083712	120.external_rights	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/010.constitution/130.access_license_transfer/0101300000_PERSONA_ACCESS_LICENSE_TRANSFER_CONSTITUTION_INDEX.md	020.deep_index_original_backup_20260417_083712	130.access_license_transfer	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/010.constitution/140.integration/0101400000_PERSONA_INTEGRATION_CONSTITUTION_INDEX.md	020.deep_index_original_backup_20260417_083712	140.integration	review_required	general archive content without active delete rule	keep_for_now_and_review_later
